idH,idArg,idI,rep,val,time
ANT_VND,"(1, 0.6, 0.1, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.6749279499053955
ANT_VND,"(1, 0.6, 0.1, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.6679298877716064
ANT_VND,"(1, 0.6, 0.1, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.6679298877716064
ANT_VND,"(1, 0.6, 0.1, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.66793155670166
ANT_VND,"(1, 0.6, 0.1, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.670930624008179
ANT_VND,"(1, 0.6, 0.1, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668930768966675
ANT_VND,"(1, 0.6, 0.1, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.673930644989014
ANT_VND,"(1, 0.6, 0.1, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.671931028366089
ANT_VND,"(1, 0.6, 0.1, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.673930644989014
ANT_VND,"(1, 0.6, 0.3, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.674930572509766
ANT_VND,"(1, 0.6, 0.3, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.669011831283569
ANT_VND,"(1, 0.6, 0.3, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.669008493423462
ANT_VND,"(1, 0.6, 0.3, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.673009634017944
ANT_VND,"(1, 0.6, 0.3, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.671008110046387
ANT_VND,"(1, 0.6, 0.3, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.669008731842041
ANT_VND,"(1, 0.6, 0.3, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.674008846282959
ANT_VND,"(1, 0.6, 0.3, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.671008348464966
ANT_VND,"(1, 0.6, 0.3, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.66900897026062
ANT_VND,"(1, 0.6, 0.5, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.67100715637207
ANT_VND,"(1, 0.6, 0.5, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.670008659362793
ANT_VND,"(1, 0.6, 0.5, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.6700966358184814
ANT_VND,"(1, 0.6, 0.5, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.669098854064941
ANT_VND,"(1, 0.6, 0.5, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6730992794036865
ANT_VND,"(1, 0.6, 0.5, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.670098543167114
ANT_VND,"(1, 0.6, 0.5, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.674098014831543
ANT_VND,"(1, 0.6, 0.5, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.66809868812561
ANT_VND,"(1, 0.6, 0.5, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6710991859436035
ANT_VND,"(1, 0.8, 0.1, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.673097133636475
ANT_VND,"(1, 0.8, 0.1, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.671098709106445
ANT_VND,"(1, 0.8, 0.1, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.669097900390625
ANT_VND,"(1, 0.8, 0.1, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6718339920043945
ANT_VND,"(1, 0.8, 0.1, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.671867609024048
ANT_VND,"(1, 0.8, 0.1, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.669873952865601
ANT_VND,"(1, 0.8, 0.1, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6748809814453125
ANT_VND,"(1, 0.8, 0.1, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.675880432128906
ANT_VND,"(1, 0.8, 0.3, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667880535125732
ANT_VND,"(1, 0.8, 0.1, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.677650690078735
ANT_VND,"(1, 0.8, 0.3, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668431758880615
ANT_VND,"(1, 0.8, 0.3, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668457746505737
ANT_VND,"(1, 0.8, 0.3, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668219804763794
ANT_VND,"(1, 0.8, 0.3, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667178392410278
ANT_VND,"(1, 0.8, 0.3, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667176246643066
ANT_VND,"(1, 0.8, 0.3, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.666916847229004
ANT_VND,"(1, 0.8, 0.3, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668921232223511
ANT_VND,"(1, 0.8, 0.3, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668921232223511
ANT_VND,"(1, 0.8, 0.5, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.667171955108643
ANT_VND,"(1, 0.8, 0.5, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.669178009033203
ANT_VND,"(1, 0.8, 0.5, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.667172193527222
ANT_VND,"(1, 0.8, 0.5, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.666914224624634
ANT_VND,"(1, 0.8, 0.5, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667172193527222
ANT_VND,"(1, 0.8, 0.5, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667778730392456
ANT_VND,"(1, 0.8, 0.5, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667996883392334
ANT_VND,"(1, 0.8, 0.5, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.672001123428345
ANT_VND,"(1, 0.8, 0.5, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667989730834961
